method,encoding,handler,iter,bound,sim_mu,sim_ci,gap_pct,elapsed_s
int+CCD,int,CCD,100,55.6641,37.5548,9.6325,48.22,23.83
int+CCD,int,CCD,200,52.5922,32.1625,9.5722,63.52,50.89
int+CCD,int,CCD,300,51.1727,31.4802,9.9534,62.55,81.59
int+CCD,int,CCD,400,50.519,34.3591,10.0494,47.03,116.13
int+CCD,int,CCD,500,50.1465,32.4893,10.0309,54.35,150.1
int+CCD,int,CCD,600,49.5,35.2266,9.5636,40.52,185.57
int+SCD,int,SCD,100,53.8419,30.0361,9.8548,79.26,56.47
int+SCD,int,SCD,200,50.4727,32.3887,10.0743,55.83,150.39
int+SCD,int,SCD,300,49.6233,30.9819,10.0374,60.17,282.71
int+SCD,int,SCD,400,49.1723,32.428,10.037,51.64,451.1
int+SCD,int,SCD,500,48.7739,31.6248,10.1352,54.23,656.3
int+SCD,int,SCD,600,48.5083,39.7649,9.8661,21.99,901.41
int+LD,int,LD,100,56.6088,30.1257,9.8802,87.91,144.13
int+LD,int,LD,200,51.5918,27.0029,10.5033,91.06,384.03
int+LD,int,LD,300,50.0719,36.245,10.0237,38.15,706.4
int+LD,int,LD,400,49.4714,37.2466,10.069,32.82,1109.54
int+LD,int,LD,500,49.1133,31.7382,9.5759,54.74,1586.49
int+LD,int,LD,600,48.6775,42.7172,9.9732,13.95,2157.68
bin+CCD,bin,CCD,100,55.9977,31.2488,10.1371,79.2,20.14
bin+CCD,bin,CCD,200,51.5928,30.1989,9.8329,70.84,49.93
bin+CCD,bin,CCD,300,50.3659,33.431,9.8242,50.66,84.27
bin+CCD,bin,CCD,400,49.5768,38.0,10.0063,30.47,121.41
bin+CCD,bin,CCD,500,49.1744,41.4136,9.9104,18.74,161.12
bin+CCD,bin,CCD,600,48.9457,28.0743,10.2929,74.34,203.23
bin+SCD,bin,SCD,100,55.0595,36.9539,10.0704,49.0,67.35
bin+SCD,bin,SCD,200,50.8501,42.598,10.072,19.37,179.43
bin+SCD,bin,SCD,300,49.3482,40.0092,9.8499,23.34,337.17
bin+SCD,bin,SCD,400,48.5473,36.2521,9.6586,33.92,536.46
bin+SCD,bin,SCD,500,48.1761,27.058,10.0202,78.05,778.37
bin+SCD,bin,SCD,600,48.0437,43.8944,9.9006,9.45,1057.6
bin+LD,bin,LD,100,54.7575,30.6491,9.7063,78.66,149.83
bin+LD,bin,LD,200,51.1222,31.2959,10.2356,63.35,402.15
bin+LD,bin,LD,300,49.8401,28.6416,9.9426,74.01,731.41
bin+LD,bin,LD,400,48.8399,33.9111,9.8019,44.02,1150.56
bin+LD,bin,LD,500,48.4485,37.1234,10.3904,30.51,1655.25
bin+LD,bin,LD,600,48.1115,40.9087,9.8047,17.61,2236.16
