method,encoding,handler,iter,bound,sim_mu,sim_ci,gap_pct,elapsed_s
int+CCD,int,CCD,50,275.5447,259.2076,3.0861,6.3,11.75
int+CCD,int,CCD,100,272.8713,259.8403,3.1167,5.02,21.39
int+CCD,int,CCD,150,272.2791,259.9029,3.0829,4.76,31.21
int+CCD,int,CCD,200,271.9944,259.997,3.085,4.61,42.03
int+CCD,int,CCD,250,271.9313,259.9418,3.077,4.61,54.97
int+CCD,int,CCD,300,271.8901,259.8602,3.0731,4.63,67.58
int+SCD,int,SCD,50,273.6762,259.5628,3.0836,5.44,22.15
int+SCD,int,SCD,100,272.0544,260.3539,3.0954,4.49,51.45
int+SCD,int,SCD,150,271.6406,259.7833,3.0834,4.56,82.32
int+SCD,int,SCD,200,271.5195,259.8803,3.0871,4.48,117.88
int+SCD,int,SCD,250,271.454,259.9557,3.0849,4.42,154.98
int+SCD,int,SCD,300,271.3937,259.933,3.0851,4.41,193.26
int+LD,int,LD,50,273.6759,259.5348,3.0819,5.45,55.87
int+LD,int,LD,100,272.0517,260.3471,3.0938,4.5,125.92
int+LD,int,LD,150,271.6431,259.7775,3.0823,4.57,203.54
int+LD,int,LD,200,271.5086,259.928,3.0888,4.46,288.74
int+LD,int,LD,250,271.4424,259.939,3.0836,4.43,379.65
int+LD,int,LD,284,271.4304,259.9585,3.0842,4.41,442.29
bin+CCD,bin,CCD,50,274.8166,260.0258,3.0846,5.69,7.96
bin+CCD,bin,CCD,100,272.9939,259.667,3.0911,5.13,18.83
bin+CCD,bin,CCD,150,272.4142,259.754,3.0871,4.87,30.17
bin+CCD,bin,CCD,200,272.1986,260.0035,3.0967,4.69,42.28
bin+CCD,bin,CCD,250,272.1445,260.1387,3.0994,4.62,55.46
bin+CCD,bin,CCD,300,272.0322,260.0439,3.0968,4.61,71.54
bin+SCD,bin,SCD,50,273.9964,258.7698,3.0868,5.88,27.37
bin+SCD,bin,SCD,100,272.2184,260.022,3.109,4.69,62.49
bin+SCD,bin,SCD,150,271.5928,260.028,3.1056,4.45,103.35
bin+SCD,bin,SCD,200,271.3797,260.0022,3.0898,4.38,146.52
bin+SCD,bin,SCD,250,271.3352,260.0546,3.0887,4.34,193.34
bin+SCD,bin,SCD,300,271.3341,260.0161,3.0859,4.35,243.43
bin+LD,bin,LD,50,273.9902,258.7218,3.0869,5.9,60.46
bin+LD,bin,LD,100,272.2467,259.9788,3.096,4.72,141.48
bin+LD,bin,LD,150,271.6051,259.9949,3.1025,4.47,235.46
bin+LD,bin,LD,200,271.3595,260.1284,3.0929,4.32,338.21
bin+LD,bin,LD,250,271.3189,260.1435,3.0964,4.3,444.48
bin+LD,bin,LD,300,271.3099,260.1177,3.0931,4.3,555.63
