method,iter,bound
LP-relax+CCD,1,516.1366854622639
LP-relax+CCD,2,444.31618962912256
LP-relax+CCD,3,379.7112519707215
LP-relax+CCD,4,329.3358447615381
LP-relax+CCD,5,307.9586360316647
LP-relax+CCD,6,299.2136265873432
LP-relax+CCD,7,292.5892336727979
LP-relax+CCD,8,290.20418096166213
LP-relax+CCD,9,288.032609170688
LP-relax+CCD,10,283.58810141501436
LP-relax+CCD,11,283.42290471321564
LP-relax+CCD,12,283.4964707999619
LP-relax+CCD,13,283.3470643829187
LP-relax+CCD,14,282.8639641447188
LP-relax+CCD,15,281.85472762748594
LP-relax+CCD,16,280.90482669017325
LP-relax+CCD,17,280.86644483984463
LP-relax+CCD,18,279.8261949887316
LP-relax+CCD,19,279.08226751904476
LP-relax+CCD,20,279.01909218302563
LP-relax+CCD,21,276.70813167403116
LP-relax+CCD,22,276.26517049133247
LP-relax+CCD,23,276.23448622407216
LP-relax+CCD,24,276.20859576936294
LP-relax+CCD,25,275.7040319952489
LP-relax+CCD,26,275.66352744275457
LP-relax+CCD,27,275.6586613739934
LP-relax+CCD,28,275.6297296296487
LP-relax+CCD,29,275.70171788753265
LP-relax+CCD,30,275.5308877918498
LP-relax+CCD,31,275.5123735715274
LP-relax+CCD,32,275.42270518163974
LP-relax+CCD,33,275.26813549304586
LP-relax+CCD,34,275.1264618788923
LP-relax+CCD,35,274.84600396358303
LP-relax+CCD,36,274.7961455856423
LP-relax+CCD,37,274.6888051495667
LP-relax+CCD,38,274.50438229945365
LP-relax+CCD,39,274.47272306577105
LP-relax+CCD,40,274.29341256766367
LP-relax+CCD,41,274.2426538626206
LP-relax+CCD,42,274.22719732522353
LP-relax+CCD,43,274.0858609686757
LP-relax+CCD,44,274.0282713937964
LP-relax+CCD,45,273.9660947450513
LP-relax+CCD,46,273.9018322758904
LP-relax+CCD,47,273.7338618811215
LP-relax+CCD,48,273.5424591409986
LP-relax+CCD,49,273.5377548732367
LP-relax+CCD,50,273.4512809613734
LP-relax+CCD,51,273.3886698864556
LP-relax+CCD,52,273.34060985104594
LP-relax+CCD,53,273.30901798125586
LP-relax+CCD,54,273.2937421213808
LP-relax+CCD,55,273.26556819701005
LP-relax+CCD,56,273.2358277436877
LP-relax+CCD,57,273.23415941214995
LP-relax+CCD,58,273.1520023020806
LP-relax+CCD,59,273.1097166267657
LP-relax+CCD,60,273.0980555167121
LP-relax+CCD,61,273.08822480552254
LP-relax+CCD,62,272.9810652404667
LP-relax+CCD,63,272.98030575826346
LP-relax+CCD,64,272.8997843144128
LP-relax+CCD,65,272.8818162666208
LP-relax+CCD,66,272.75068934250737
LP-relax+CCD,67,272.6452558028323
LP-relax+CCD,68,272.59730815895006
LP-relax+CCD,69,272.5734179453626
LP-relax+CCD,70,272.5704337826283
LP-relax+CCD,71,272.52526107331795
LP-relax+CCD,72,272.47322434276714
LP-relax+CCD,73,272.45168434403337
LP-relax+CCD,74,272.44706176642893
LP-relax+CCD,75,272.41623398411014
LP-relax+CCD,76,272.38160287491013
LP-relax+CCD,77,272.3814650717681
LP-relax+CCD,78,272.36555348582993
LP-relax+CCD,79,272.3299427368896
LP-relax+CCD,80,272.2788708794028
LP-relax+CCD,81,272.24168408462685
LP-relax+CCD,82,272.2248469326067
LP-relax+CCD,83,272.183483549473
LP-relax+CCD,84,272.1769414081601
LP-relax+CCD,85,272.16446875851375
LP-relax+CCD,86,272.14213571404207
LP-relax+CCD,87,272.11146894132196
LP-relax+CCD,88,272.06211945892164
LP-relax+CCD,89,272.04644558073727
LP-relax+CCD,90,271.99773941968806
LP-relax+CCD,91,271.99179478162665
LP-relax+CCD,92,271.9822795644204
LP-relax+CCD,93,271.98012012532655
LP-relax+CCD,94,271.94300883429116
LP-relax+CCD,95,271.87847689488854
LP-relax+CCD,96,271.8639101295492
LP-relax+CCD,97,271.86334760855294
LP-relax+CCD,98,271.84630866924635
LP-relax+CCD,99,271.82348058737233
LP-relax+CCD,100,271.8078508170446
LP-relax+CCD,101,271.8074678743583
LP-relax+CCD,102,271.73403266938357
LP-relax+CCD,103,271.7011895188671
LP-relax+CCD,104,271.6916133170908
LP-relax+CCD,105,271.67516242865787
LP-relax+CCD,106,271.6604787419953
LP-relax+CCD,107,271.64674551633635
LP-relax+CCD,108,271.6071777366187
LP-relax+CCD,109,271.60199892649655
LP-relax+CCD,110,271.6014979208184
LP-relax+CCD,111,271.59330075357866
LP-relax+CCD,112,271.5911081780831
LP-relax+CCD,113,271.58742716118707
LP-relax+CCD,114,271.5789828107676
LP-relax+CCD,115,271.54406438449047
LP-relax+CCD,116,271.5609064469473
LP-relax+CCD,117,271.5219359953308
LP-relax+CCD,118,271.5078505004254
LP-relax+CCD,119,271.49160061394457
LP-relax+CCD,120,271.48037450277394
LP-relax+CCD,121,271.4691930580814
LP-relax+CCD,122,271.4104706339834
LP-relax+CCD,123,271.4098419002504
LP-relax+CCD,124,271.39859161576044
LP-relax+CCD,125,271.3800601774427
LP-relax+CCD,126,271.34927928667116
LP-relax+CCD,127,271.3333730237026
LP-relax+CCD,128,271.31707629327065
LP-relax+CCD,129,271.2972069466678
LP-relax+CCD,130,271.29618748948405
LP-relax+CCD,131,271.2797498449348
LP-relax+CCD,132,271.27622464389157
LP-relax+CCD,133,271.2721378856601
LP-relax+CCD,134,271.2653044638098
LP-relax+CCD,135,271.26116590510514
LP-relax+CCD,136,271.2915958454361
LP-relax+CCD,137,271.27769644103336
LP-relax+CCD,138,271.27561447987705
LP-relax+CCD,139,271.2748503297705
LP-relax+CCD,140,271.2732122829798
LP-relax+CCD,141,271.2644136535308
LP-relax+CCD,142,271.2637728588493
LP-relax+CCD,143,271.25560201912987
LP-relax+CCD,144,271.233078852967
LP-relax+CCD,145,271.2221213314131
LP-relax+CCD,146,271.2194259249059
LP-relax+CCD,147,271.19961509561585
LP-relax+CCD,148,271.1970313112182
LP-relax+CCD,149,271.17345273508005
LP-relax+CCD,150,271.1708819601847
LP-relax+CCD,151,271.15818278382096
LP-relax+CCD,152,271.1196512373596
LP-relax+CCD,153,271.1148606119345
LP-relax+CCD,154,271.1116161049937
LP-relax+CCD,155,271.1001028753839
LP-relax+CCD,156,271.0860853370389
LP-relax+CCD,157,271.08358278673074
LP-relax+CCD,158,271.0818276073019
LP-relax+CCD,159,271.0750337484288
LP-relax+CCD,160,271.07050141506494
LP-relax+CCD,161,271.0594030590708
LP-relax+CCD,162,271.0581931363657
LP-relax+CCD,163,271.05517357062166
LP-relax+CCD,164,271.05486265724403
LP-relax+CCD,165,271.03466920320955
LP-relax+CCD,166,271.0265983045173
LP-relax+CCD,167,271.01398184658973
LP-relax+CCD,168,271.0037119724634
LP-relax+CCD,169,270.94859157455954
LP-relax+CCD,170,270.94233323720874
LP-relax+CCD,171,270.9373218374774
LP-relax+CCD,172,270.9362569914982
LP-relax+CCD,173,270.9352303072718
LP-relax+CCD,174,270.9241052566705
LP-relax+CCD,175,270.91729689143455
LP-relax+CCD,176,270.91097392308444
LP-relax+CCD,177,270.90538094129806
LP-relax+CCD,178,270.8993981234503
LP-relax+CCD,179,270.898026591219
LP-relax+CCD,180,270.8978179851679
LP-relax+CCD,181,270.8966946807712
LP-relax+CCD,182,270.8937637276269
LP-relax+CCD,183,270.8934059312752
LP-relax+CCD,184,270.89086368683513
LP-relax+CCD,185,270.873942125756
LP-relax+CCD,186,270.8538558173237
LP-relax+CCD,187,270.8527990935826
LP-relax+CCD,188,270.84738136695205
LP-relax+CCD,189,270.83316423135966
LP-relax+CCD,190,270.82896735876574
LP-relax+CCD,191,270.8283962968566
LP-relax+CCD,192,270.8280243839123
LP-relax+CCD,193,270.8271005688034
LP-relax+CCD,194,270.82265792077266
LP-relax+CCD,195,270.81972971758177
LP-relax+CCD,196,270.8184388298636
LP-relax+CCD,197,270.8205458946021
LP-relax+CCD,198,270.8076887851581
LP-relax+CCD,199,270.80656945609616
LP-relax+CCD,200,270.8065046437258
LP-relax+CCD,201,270.79738470681235
LP-relax+CCD,202,270.7973274600144
LP-relax+CCD,203,270.7898896155217
LP-relax+CCD,204,270.78918263206
LP-relax+CCD,205,270.78766364216705
LP-relax+CCD,206,270.7857731997928
LP-relax+CCD,207,270.78086285117297
LP-relax+CCD,208,270.78075878227605
LP-relax+CCD,209,270.7799165006027
LP-relax+CCD,210,270.7739543232997
LP-relax+CCD,211,270.77101496435876
LP-relax+CCD,212,270.76622982938596
LP-relax+CCD,213,270.7654771497452
LP-relax+CCD,214,270.7621099514852
LP-relax+CCD,215,270.7603017250467
LP-relax+CCD,216,270.75664343447824
LP-relax+CCD,217,270.7547730153179
LP-relax+CCD,218,270.72091386206813
LP-relax+CCD,219,270.71078450571656
LP-relax+CCD,220,270.70955306916915
LP-relax+CCD,221,270.7076918696129
LP-relax+CCD,222,270.6954666630779
LP-relax+CCD,223,270.6936247337028
LP-relax+CCD,224,270.690259345877
LP-relax+CCD,225,270.6899596970925
LP-relax+CCD,226,270.6888091119012
LP-relax+CCD,227,270.6884615973551
LP-relax+CCD,228,270.6779114960083
LP-relax+CCD,229,270.6776486516066
LP-relax+CCD,230,270.66890179327606
LP-relax+CCD,231,270.66816063190345
LP-relax+CCD,232,270.65817698512234
LP-relax+CCD,233,270.6531074615846
LP-relax+CCD,234,270.6470675672156
LP-relax+CCD,235,270.64561532490274
LP-relax+CCD,236,270.64444088830686
LP-relax+CCD,237,270.6398260967446
LP-relax+CCD,238,270.63455115656257
LP-relax+CCD,239,270.63333163778987
LP-relax+CCD,240,270.6312648400914
LP-relax+CCD,241,270.63078321695957
LP-relax+CCD,242,270.63044122066776
LP-relax+CCD,243,270.62972046426637
LP-relax+CCD,244,270.6275811729737
LP-relax+CCD,245,270.6256539973605
LP-relax+CCD,246,270.62443093135096
LP-relax+CCD,247,270.6226002734866
LP-relax+CCD,248,270.6151101986114
LP-relax+CCD,249,270.60814514598064
LP-relax+CCD,250,270.6069948084331
LP-relax+CCD,251,270.60536623537007
LP-relax+CCD,252,270.60488916541
LP-relax+CCD,253,270.6027217214613
LP-relax+CCD,254,270.5898367649618
