config,strategy,status,obj_val,mip_gap,runtime_sec,cb_invocations,cuts_added,rc
cfg_short_complex_t4_b140_n12_w10.json,most_violated,2,1384.1639629613096,0.0,4.58,71,67,0
cfg_short_complex_t4_b140_n12_w10.json,first_found,2,1384.1639559931623,5.034199210807337e-09,0.90,27,25,0
cfg_short_complex_t4_b190_n16_w12.json,most_violated,2,1349.0331003263427,4.172527504754003e-09,0.73,2,0,0
cfg_short_complex_t4_b190_n16_w12.json,first_found,2,1349.0331003263427,4.172527504754003e-09,0.70,2,0,0
cfg_short_complex_t4_b240_n20_w14.json,most_violated,9,1783.5056748475733,0.047619161585609665,300.77,207,206,0
cfg_short_complex_t4_b240_n20_w14.json,first_found,2,1868.4347197646002,1.2802005017141622e-12,14.25,90,88,0
cfg_short_complex_t6_b160_n12_w12.json,most_violated,2,1688.348034710402,0.0,261.11,401,390,0
cfg_short_complex_t6_b160_n12_w12.json,first_found,2,1688.348034710415,0.0,113.71,284,274,0
cfg_short_complex_t6_b220_n16_w15.json,most_violated,9,2205.4735254841603,0.08329284205112299,300.17,206,199,0
cfg_short_complex_t6_b220_n16_w15.json,first_found,9,2218.067194080071,0.0771421577609784,300.25,245,239,0
cfg_short_complex_t6_b280_n20_w18.json,most_violated,9,2731.5060726313786,0.07167524648822643,300.21,153,147,0
cfg_short_complex_t6_b280_n20_w18.json,first_found,9,2731.5060772846955,0.07167524466254799,300.31,263,258,0
cfg_short_complex_t8_b180_n12_w14.json,most_violated,9,2767.683505439798,0.001083938539831235,300.16,226,208,0
cfg_short_complex_t8_b180_n12_w14.json,first_found,2,2770.5674285929545,4.189599199403941e-05,257.32,326,302,0
cfg_short_complex_t8_b250_n16_w18.json,most_violated,9,2312.730929723169,0.21294594900192482,300.16,182,181,0
cfg_short_complex_t8_b250_n16_w18.json,first_found,9,2312.7309297231814,0.2129459490019176,300.22,141,140,0
cfg_short_complex_t8_b320_n20_w22.json,most_violated,9,None,None,300.55,15,15,0
cfg_short_complex_t8_b320_n20_w22.json,first_found,9,2810.4961576822757,0.22821067849699692,300.44,94,89,0
cfg_t200_b50_n20_w5.json,most_violated,9,None,None,302.70,0,0,0
cfg_t200_b50_n20_w5.json,first_found,9,None,None,302.67,0,0,0
cfg_t200_b50_n40_w5.json,most_violated,,,,,,,1
cfg_t200_b50_n40_w5.json,first_found,,,,,,,1
cfg_t200_b50_n5_w5.json,most_violated,9,None,None,300.16,0,0,0
cfg_t200_b50_n5_w5.json,first_found,9,None,None,300.05,0,0,0
cfg_t400_b50_n20_w5.json,most_violated,,,,,,,1
cfg_t400_b50_n20_w5.json,first_found,,,,,,,1
cfg_t400_b50_n40_w5.json,most_violated,,,,,,,1
cfg_t400_b50_n40_w5.json,first_found,,,,,,,1
cfg_t400_b50_n5_w5.json,most_violated,9,None,None,300.24,0,0,0
cfg_t400_b50_n5_w5.json,first_found,9,None,None,300.20,0,0,0
cfg_t50_b50_n20_w5.json,most_violated,9,None,None,301.44,0,0,0
cfg_t50_b50_n20_w5.json,first_found,9,None,None,301.32,0,0,0
cfg_t50_b50_n40_w5.json,most_violated,,,,,,,1
cfg_t50_b50_n40_w5.json,first_found,,,,,,,1
cfg_t50_b50_n5_w5.json,most_violated,2,1575.7966491502143,0.0,118.26,13,3,0
cfg_t50_b50_n5_w5.json,first_found,2,1575.7966491502143,0.0,120.81,13,3,0
